,lat,long,elevation
0,-85.5,-180.0,2550.59619140625
1,-85.5,-169.71429,2602.250732421875
2,-85.5,-159.42857,297.3237609863281
3,-85.5,-149.14286,328.6073913574219
4,-85.5,-138.85714,759.119873046875
5,-85.5,-128.57143,1384.443969726562
6,-85.5,-118.28571,2226.110595703125
7,-85.5,-108.0,2371.905517578125
8,-85.5,-97.71429,1972.67431640625
9,-85.5,-87.42857,1803.9287109375
10,-85.5,-77.14286,1292.942138671875
11,-85.5,-66.85714,1434.348388671875
12,-85.5,-56.57143,1668.232299804688
13,-85.5,-46.28571,1761.751953125
14,-85.5,-36.0,1966.286254882812
15,-85.5,-25.71429,2164.357666015625
16,-85.5,-15.42857,2431.5732421875
17,-85.5,-5.14286,2556.45068359375
18,-85.5,5.14286,2634.736328125
19,-85.5,15.42857,2700.369384765625
20,-85.5,25.71429,2776.844970703125
21,-85.5,36.0,3039.116455078125
22,-85.5,46.28571,3232.7314453125
23,-85.5,56.57143,3317.525390625
24,-85.5,66.85714,3359.62890625
25,-85.5,77.14286,3337.655029296875
26,-85.5,87.42857,3284.9091796875
27,-85.5,97.71429,3203.47802734375
28,-85.5,108.0,3105.674560546875
29,-85.5,118.28571,3039.080078125
30,-85.5,128.57143,2953.281982421875
31,-85.5,138.85714,2844.082275390625
32,-85.5,149.14286,2768.4140625
33,-85.5,159.42857,2543.5947265625
34,-85.5,169.71429,2143.686767578125
35,-76.5,-174.85714,-562.9716186523438
36,-76.5,-164.57143,-551.262939453125
37,-76.5,-154.28571,-576.7374877929688
38,-76.5,-144.0,819.467041015625
39,-76.5,-133.71429,2175.878662109375
40,-76.5,-123.42857,2237.81689453125
41,-76.5,-113.14286,1313.516845703125
42,-76.5,-102.85714,1188.42578125
43,-76.5,-92.57143,1256.813598632812
44,-76.5,-82.28571,886.826904296875
45,-76.5,-72.0,388.8965454101562
46,-76.5,-61.71429,64.01715087890625
47,-76.5,-51.42857,-364.6000366210938
48,-76.5,-41.14286,-440.56005859375
49,-76.5,-30.85714,-342.2111511230469
50,-76.5,-20.57143,1507.264892578125
51,-76.5,-10.28571,2209.669189453125
52,-76.5,0.0,2678.375
53,-76.5,10.28571,3199.112548828125
54,-76.5,20.57143,3480.903564453125
55,-76.5,30.85714,3701.125732421875
56,-76.5,41.14286,3717.529296875
57,-76.5,51.42857,3369.5546875
58,-76.5,61.71429,2692.6435546875
59,-76.5,72.0,2547.398193359375
60,-76.5,82.28571,3251.40625
61,-76.5,92.57143,3718.406005859375
62,-76.5,102.85714,3539.9873046875
63,-76.5,113.14286,3317.56640625
64,-76.5,123.42857,3160.25048828125
65,-76.5,133.71429,2854.3486328125
66,-76.5,144.0,2562.844970703125
67,-76.5,154.28571,2292.835205078125
68,-76.5,164.57143,-661.4402465820312
69,-76.5,174.85714,-457.3089294433594
70,-67.5,-180.0,-1721.0
71,-67.5,-169.71429,-4049.266845703125
72,-67.5,-159.42857,-3806.055908203125
73,-67.5,-149.14286,-4014.369873046875
74,-67.5,-138.85714,-3912.432861328125
75,-67.5,-128.57143,-4358.2958984375
76,-67.5,-118.28571,-4450.97119140625
77,-67.5,-108.0,-4364.0
78,-67.5,-97.71429,-4552.0869140625
79,-67.5,-87.42857,-4228.77099609375
80,-67.5,-77.14286,-3259.42724609375
81,-67.5,-66.85714,194.9317474365234
82,-67.5,-56.57143,-649.9720458984375
83,-67.5,-46.28571,-3892.743896484375
84,-67.5,-36.0,-4532.0
85,-67.5,-25.71429,-4782.85693359375
86,-67.5,-15.42857,-4878.314453125
87,-67.5,-5.14286,-4761.8291015625
88,-67.5,5.14286,-4354.6875
89,-67.5,15.42857,-4031.343017578125
90,-67.5,25.71429,-4088.141357421875
91,-67.5,36.0,-3024.800048828125
92,-67.5,46.28571,76.17963409423828
93,-67.5,56.57143,904.4340209960938
94,-67.5,66.85714,-99.3993148803711
95,-67.5,77.14286,-306.2855529785156
96,-67.5,87.42857,1054.880126953125
97,-67.5,97.71429,1641.506103515625
98,-67.5,108.0,1416.061889648438
99,-67.5,118.28571,591.3526611328125
100,-67.5,128.57143,1056.801879882812
101,-67.5,138.85714,1630.823364257812
102,-67.5,149.14286,-511.68603515625
103,-67.5,159.42857,-2452.8291015625
104,-67.5,169.71429,-3057.858154296875
105,-58.5,-174.85714,-5096.37255859375
106,-58.5,-164.57143,-4455.8857421875
107,-58.5,-154.28571,-3375.34423828125
108,-58.5,-144.0,-3429.199951171875
109,-58.5,-133.71429,-3904.52490234375
110,-58.5,-123.42857,-4440.38330078125
111,-58.5,-113.14286,-5326.99462890625
112,-58.5,-102.85714,-4571.6474609375
113,-58.5,-92.57143,-5177.818359375
114,-58.5,-82.28571,-4405.52734375
115,-58.5,-72.0,-3981.199951171875
116,-58.5,-61.71429,-3939.112060546875
117,-58.5,-51.42857,-3691.8564453125
118,-58.5,-41.14286,-3108.701416015625
119,-58.5,-30.85714,-3347.308349609375
120,-58.5,-20.57143,-3856.326904296875
121,-58.5,-10.28571,-3931.490478515625
122,-58.5,0.0,-4369.39990234375
123,-58.5,10.28571,-5081.0859375
124,-58.5,20.57143,-4729.4990234375
125,-58.5,30.85714,-5411.8857421875
126,-58.5,41.14286,-5187.72509765625
127,-58.5,51.42857,-5263.228515625
128,-58.5,61.71429,-4952.83935546875
129,-58.5,72.0,-4287.43994140625
130,-58.5,82.28571,-1904.086791992188
131,-58.5,92.57143,-4535.33740234375
132,-58.5,102.85714,-4307.02783203125
133,-58.5,113.14286,-4574.84619140625
134,-58.5,123.42857,-4571.828125
135,-58.5,133.71429,-4535.68603515625
136,-58.5,144.0,-3782.159912109375
137,-58.5,154.28571,-3401.0576171875
138,-58.5,164.57143,-4595.07666015625
139,-58.5,174.85714,-5156.6416015625
140,-49.5,-180.0,-2315.800048828125
141,-49.5,-169.71429,-5161.37548828125
142,-49.5,-159.42857,-4930.04541015625
143,-49.5,-149.14286,-4254.41650390625
144,-49.5,-138.85714,-4611.7412109375
145,-49.5,-128.57143,-4071.714111328125
146,-49.5,-118.28571,-2921.354736328125
147,-49.5,-108.0,-3705.280029296875
148,-49.5,-97.71429,-4243.38623046875
149,-49.5,-87.42857,-4307.84619140625
150,-49.5,-77.14286,-3637.817626953125
151,-49.5,-66.85714,-92.73702239990234
152,-49.5,-56.57143,-603.5191650390625
153,-49.5,-46.28571,-4826.93212890625
154,-49.5,-36.0,-4916.16015625
155,-49.5,-25.71429,-4671.0546875
156,-49.5,-15.42857,-3829.2548828125
157,-49.5,-5.14286,-3449.88720703125
158,-49.5,5.14286,-3281.49560546875
159,-49.5,15.42857,-4369.45068359375
160,-49.5,25.71429,-4955.42529296875
161,-49.5,36.0,-4606.68017578125
162,-49.5,46.28571,-4421.013671875
163,-49.5,56.57143,-4240.279296875
164,-49.5,66.85714,-1252.516357421875
165,-49.5,77.14286,-3327.800048828125
166,-49.5,87.42857,-4121.068359375
167,-49.5,97.71429,-3311.781005859375
168,-49.5,108.0,-3488.760009765625
169,-49.5,118.28571,-3398.027099609375
170,-49.5,128.57143,-3699.456787109375
171,-49.5,138.85714,-3215.460205078125
172,-49.5,149.14286,-4014.43115234375
173,-49.5,159.42857,-4739.939453125
174,-49.5,169.71429,-655.279541015625
175,-40.5,-174.85714,-4060.99365234375
176,-40.5,-164.57143,-5208.0712890625
177,-40.5,-154.28571,-4942.84619140625
178,-40.5,-144.0,-5334.7998046875
179,-40.5,-133.71429,-4901.35302734375
180,-40.5,-123.42857,-3741.200439453125
181,-40.5,-113.14286,-3063.16650390625
182,-40.5,-102.85714,-4060.40087890625
183,-40.5,-92.57143,-3158.045166015625
184,-40.5,-82.28571,-4290.0205078125
